file,text,trigger,mention text (just a few words around the trigger),paragraph,sentiment,aspect,opinion words,notes,,,,
Soullier%20th%C3%A8se.txt,"But the context of the VC during that year could be considered as specific , with the low rice price on the global market and the policy ensuring rice marketing through an agreement involving importers in the domestic VC .",considered,"year could be considered as specific, with the low rice price on the","Fourth, the methodological setup of this thesis has limitations. To start with, the thesis is based on a cross-sectional survey which could yield results biased by specific events which happened during the reference year. The 2014 agricultural seasons may be considered as “normal” in terms of yields. But the context of the VC during that year could be considered as specific, with the low rice price on the global market and the policy ensuring rice marketing through an agreement involving importers in the domestic VC. Such specific factors could limit the external validity of results. Furthermore, the decision to become involved in contracts is based on a producer’s characteristics such as experience or indebtedness, which evolve over time. As a result, participation in contracts should be analyzed with a dynamic approach and longitudinal surveys. Due to time constraints, the thesis did not allow such an approach. The second methodological limitation is linked to the impact evaluation models used to correct selection bias. Such methods were developed by sciences in which the researcher has total control over the experiment. They rely on the hypothesis that control and treated groups have similar features, and that their difference in participation is due to external random factors. Nevertheless, using them in development economics raises the risk that the researcher overlook fundamental differences in the two groups in order to comply with this methodological hypothesis. The third methodological limitation is due to the way the impact estimation methods were used. Characteristics of producers may have been overlooked, which can be a source of endogeneity. As explained earlier, I did not use longitudinal surveys and therefore could not use the “difference-in-difference” method which enables correction for time-constant omitted variables. There could also be contagion effects, such as how the price negotiated in spot transactions could affect, or be affected by, prices implemented within contracts.",bad example,,,,,,,
Soullier%20th%C3%A8se.txt,The 2014 agricultural seasons may be considered as “ normal ” in terms of yields .,considered,seasons may be considered as “normal” in terms of yields.,"Fourth, the methodological setup of this thesis has limitations. To start with, the thesis is based on a cross-sectional survey which could yield results biased by specific events which happened during the reference year. The 2014 agricultural seasons may be considered as “normal” in terms of yields. But the context of the VC during that year could be considered as specific, with the low rice price on the global market and the policy ensuring rice marketing through an agreement involving importers in the domestic VC. Such specific factors could limit the external validity of results. Furthermore, the decision to become involved in contracts is based on a producer’s characteristics such as experience or indebtedness, which evolve over time. As a result, participation in contracts should be analyzed with a dynamic approach and longitudinal surveys. Due to time constraints, the thesis did not allow such an approach. The second methodological limitation is linked to the impact evaluation models used to correct selection bias. Such methods were developed by sciences in which the researcher has total control over the experiment. They rely on the hypothesis that control and treated groups have similar features, and that their difference in participation is due to external random factors. Nevertheless, using them in development economics raises the risk that the researcher overlook fundamental differences in the two groups in order to comply with this methodological hypothesis. The third methodological limitation is due to the way the impact estimation methods were used. Characteristics of producers may have been overlooked, which can be a source of endogeneity. As explained earlier, I did not use longitudinal surveys and therefore could not use the “difference-in-difference” method which enables correction for time-constant omitted variables. There could also be contagion effects, such as how the price negotiated in spot transactions could affect, or be affected by, prices implemented within contracts.",UNDETERMINED,2014 agricultural seasons,,NOTE: is normal good or bad?? -- I would say neither,,,,
22._Weed_Management_in_Rice-Based_Cropping_Systems_in_Africa.txt,"Glyphosate and glufosinate are considered as relatively environmentally benign and , as postemergence herbicides , the application rates can be adjusted to the weed population ( Olofsdotter et al ., 1999b ) .",considered,"and glufosinate are considered as relatively environmentally benign and, as postemergence herbicides,","HR rice technologies have the potential to control a wide range of weeds (broad leaf, grasses, and sedges) including problem weeds like Echinochloa spp. and weedy rices. Glyphosate and glufosinate are considered as relatively environmentally benign and, as postemergence herbicides, the application rates can be adjusted to the weed population (Olofsdotter et al., 1999b). In addition, the technology has a wider ‘‘window’’ for herbicide application compared to conventional technologies which is an attractive characteristic for farmers dealing with labor peaks (Olofsdotter et al., 1999b).","POSITIVE, POSITIVE","Glyphosate, glufosinate","environmentally benign,  environmentally benign",,,,,
Soullier%20th%C3%A8se.txt,"Similarly , production contracts could be considered as providing the best insurance system for producers who represent the highest risk of loan default .",considered,contracts could be considered as providing the best insurance system for producers who represent,"I propose three recommendations to support the modernization of the domestic rice VC. The first recommendation is to carry out research to understand the drivers of loan default by producers in order to design an appropriate insurance system for agricultural credit. The implementation of an insurance system (started few years ago in Senegal) could prevent producer organizations unable to repay loans from being excluded by the national bank and from turning to less profitable marketing options. Nevertheless, the development of insurance systems for agricultural credit in Africa faces several challenges. There are issues involving adverse selection and moral hazards that require costly information systems to be overcome. Furthermore, there are many risks that require insurance coverage, and some of them such as civil security, are not usually covered. Finally, certain risks such as climatic shocks may affect large areas, which may compromise the principle of solidarity among producers in the same region. Research projects are needed to understand the drivers of loan default by producers in the Senegal River valley, and to develop an appropriate insurance system for agricultural credit. There is a particular need to develop an information system on the risks, their magnitude and their effects on farmers. Similarly, production contracts could be considered as providing the best insurance system for producers who represent the highest risk of loan default. Nevertheless, it is not clear how the implicit insurance cost is determined, and how the imbalance of power, due to the oligopsonistic structure of the credit market and the lack of funding opportunities for producers, influence the implicit rate of interest. The negotiation of the production contract price, with a specific breakdown of its components, should be an inherent focus of the inter-professional organization.",POSITIVE,production contracts,best insurance system,,,,,
valueChain3_2016_USAID.txt,Bank credit was issued to farmers that allowed them to buy inputs through vouchers ; farmers deposited their production in processors ’ warehouses and received a warehouse receipt that was considered as payment once it was transferred to the bank .,considered,receipt that was considered as payment once it was transferred to the bank.,"In 2011, a pilot was launched in collaboration with Vital agro-industries [the largest rice processor and foreign investor in the SRV rice sector], CNCAS and water user associations to integrate financial models that would improve CNCAS reimbursement rates while laying the foundation for a formal and solvent rice market. Consolidated in 2012 through a series of meetings and workshops with key stakeholders, these models have enabled the sale of nearly 20,000 T and mobilized more than US $11 million.35 Contractualization eventually emerged in two forms: (1) between banks and producers, and (2) in a three-way relationship between the bank, producer, and processor. In the first form, farmers were required to find their own purchaser, which often led to delays in sales and in farmers’ receiving payment. In the second form, banks provided credit to farmers who sold the contract on a forward sale to a processor, all of which was done at a price agreed in advance. Once transfer to the processor actually took place, the proceeds were used to repay the loan, with the loan now being between the bank and the processor. In this process, no cash was actually used; repayment was effectively in the form of paddy rice deposited in a warehouse. Bank credit was issued to farmers that allowed them to buy inputs through vouchers; farmers deposited their production in processors’ warehouses and received a warehouse receipt that was considered as payment once it was transferred to the bank. This economized on cash.",UNDETERMINED,Bank credit,,NOTE: This could also be undetermined...,,,,
"Clavel, Verger, Guetat pour HaL copy.txt",Pod é was one of the plants and associated dishes constantly evoked and considered as a culinary loss while it was alive in people ’ s memories .,considered,constantly evoked and considered as a culinary loss while it was alive in people,"In addition to the recession sorghum or cowpea cultivation in the Waalo, there was traditionally a large biodiversity of edible species allowing families to feed themselves during the year. Women listed varieties of squash and pumpkin (called Déné Boudé) with yellow flesh (called Diayédjé), maize, cornilla (called niébé), and black rice (called Sarna or Maro Balléo, which was cultivated before the Nerica rice), wild grasses with small edible seeds (known locally as Pagguri, locally considered similar to fonio), fruit of the water lily, seeds of Nymphea lotus (called locally Ndayri), or bulb of Gladiolus sp. (Iridaceae locally called Dayeedji). However, the consumption of the previously mentioned species has decreased although some of them are still much appreciated foods, especially for their seeds (called Podé); they are available in the market. One woman explained: ‘The disappearing crops means that people stop eating these foods. Because if you don't grow them anymore, you have to buy them, so you don't prefer to buy them, because before you could get them for free, apart from the trouble of growing them’. Podé was one of the plants and associated dishes constantly evoked and considered as a culinary loss while it was alive in people’s memories. Cooking it is always a celebration: the choice to live in the villages, and sometimes in the concessions, made it possible to ask the families to cook the podé for us. This was an opportunity to measure the emotion involved in making this dish. Wild bush fruits such as jujub (desert date palm (Balanites aegyptica)) and Fulani ngigili (Boscia Senegalensis) have also become rare. The Kelly (Zizyphus Mauritania), a bush fruit resembling the jujub has completely disappeared (according to fieldwork, see also Boëtsch et al., 2012).",bad example ,,,"NOTE: I thought this was negative but if you read the para, it's positive LMAO",,,,
"Clavel, Verger, Guetat pour HaL copy.txt","Women listed varieties of squash and pumpkin ( called D é n é Boud é ) with yellow flesh ( called Diay é dj é ) , maize , cornilla ( called ni é b é ) , and black rice ( called Sarna or Maro Ball é o , which was cultivated before the Nerica rice ) , wild grasses with small edible seeds ( known locally as Pagguri , locally considered similar to fonio ) , fruit of the water lily , seeds of Nymphea lotus ( called locally Ndayri ) , or bulb of Gladiolus sp. ( Iridaceae locally called Dayeedji ) .",considered,"Pagguri, locally considered similar to fonio), fruit of the water lily","In addition to the recession sorghum or cowpea cultivation in the Waalo, there was traditionally a large biodiversity of edible species allowing families to feed themselves during the year. Women listed varieties of squash and pumpkin (called Déné Boudé) with yellow flesh (called Diayédjé), maize, cornilla (called niébé), and black rice (called Sarna or Maro Balléo, which was cultivated before the Nerica rice), wild grasses with small edible seeds (known locally as Pagguri, locally considered similar to fonio), fruit of the water lily, seeds of Nymphea lotus (called locally Ndayri), or bulb of Gladiolus sp. (Iridaceae locally called Dayeedji). However, the consumption of the previously mentioned species has decreased although some of them are still much appreciated foods, especially for their seeds (called Podé); they are available in the market. One woman explained: ‘The disappearing crops means that people stop eating these foods. Because if you don't grow them anymore, you have to buy them, so you don't prefer to buy them, because before you could get them for free, apart from the trouble of growing them’. Podé was one of the plants and associated dishes constantly evoked and considered as a culinary loss while it was alive in people’s memories. Cooking it is always a celebration: the choice to live in the villages, and sometimes in the concessions, made it possible to ask the families to cook the podé for us. This was an opportunity to measure the emotion involved in making this dish. Wild bush fruits such as jujub (desert date palm (Balanites aegyptica)) and Fulani ngigili (Boscia Senegalensis) have also become rare. The Kelly (Zizyphus Mauritania), a bush fruit resembling the jujub has completely disappeared (according to fieldwork, see also Boëtsch et al., 2012).",bad example,,,,,,,
407. Insurance in Senegal.txt,The non availability                                                                                                                                                                                                                                                                                                                                          of inputs is considered as the second important institutional risks by 26 % of farmers in the two seasons .,considered,of inputs is considered as the second important institutional risks by 26% of,"In Figure 3, four risks stand out meaning that the institutional risks deserve a closer attention by the policy maker and the actors in the rice value chain. The most important risk according to farmers in the lack of machine for land preparation that was mentioned by 43% of them for both the dry season and the wet season. The non-availability of inputs is considered as the second important institutional risks by 26% of farmers in the two seasons. The lack of machines for land preparation prevent farmers from sowing at the required time causing an important productivity loss of around one ton ha-1 (Tanaka et al. 2015). Due to market imperfections such as breakdowns of fertilizer supply and weakness of the credit system, conventional inputs are often not applied on the recommended dates and at the recommended rates preventing irrigated rice farmers from benefiting from the full package of improved technologies that are available and improving their technical efficiency (Diagne et al. 2013).",NEGATIVE,non availability of inputs,risks,,,,,
1-s2.0-S1161030116301253-main.txt,Moving closer to the equator the number of favourable days increases and so the choice between ingle / double / triple cereal cropping becomes more pertinent ; all hree should be considered .,considered,hree should be considered.,"In irrigated areas an important question for breeders is whether hey should select for shorter duration varieties which would nable growing two or even three crops per year, or alternatively reed for medium/long duration varieties that yield more per indiidual crop but possibly restrict options for growing two or three rops per year. The same question is relevant for farmers, who ecide on what varieties to include in their crop rotations. The nswer to this question on short versus medium duration varieties epends on how many days exist within the year with a favourable limate. At high latitude locations only one crop may be possible er year because of low temperatures and low radiation levels in he colder half of the year. There, extending the length of the growng season of a single crop may have more prospects. Or, when a ield plateau is reached at a certain crop duration, an intensification ption is growing a vegetable crop or cover crop in autumn, after arvesting a winter cereal in summer. Moving closer to the equator the number of favourable days increases and so the choice between ingle/double/triple cereal cropping becomes more pertinent; all hree should be considered. Clearly, when researching options for ntensification we should take into consideration the climate. We hould not only look at intensification options for individual crops ut also implications for the viability of crop rotations.",bad example,,,,,,,
Diagne2013_Article_Self-sufficiencyPolicyAndIrrig.txt,"However , with regard to the yield potential as mentioned above and within a context of availability of improved technologies , this performance could be considered as a technical regression .",considered,performance could be considered as a technical regression.,"In Table 1, we report some descriptive statistics of the production factors and farm characteristics of our sample. Despite the constraints mentioned above, the average yield level during the surveyed period amounted to 5.32 t.ha−1, which is well above the average of 3.62 t.ha−1 in irrigated rice cultivation in sub-Saharan Africa (Rodenburg and Johnson 2009). However, with regard to the yield potential as mentioned above and within a context of availability of improved technologies, this performance could be considered as a technical regression. The highest average yield in our period of study was attained in 2004 and amounted to 5.88 t.ha−1 and the lowest in 2006, i.e. 4.04 t.ha−1. The year 2006 was particularly problematic because of the intensification of bird damage and disturbance of input supply (de Mey et al. 2012). Therefore, the maximum yields attained in this period varied from 9.01 to 12 t.ha−1 in our sample showing that the theoretical yield mentioned above can be attained at farm level.",bad example,,,,,,,
valueChain2_Gemmill-Herren.txt,"In addition , the use by large farms of chemical pesticides to control granivorous birds should be considered .",considered,birds should be considered.,"In terms of environmental pollution, a study by the Organisation for the Development of the Senegal River (OMVS) estimates that more than 150,000 tonnes of minerals are discharged into the Senegal River and its dependencies each year. In addition, the use by large farms of chemical pesticides to control granivorous birds should be considered.",bad example,,,NOTE: i'm rethinking my considered ones since technically it's positive since author wants it to be considered but we don't know whether author feels positively or negatively about it... -- I would read this as that it needs to be thought about and evaluated but not necessarily that it is good ,,,,
13.txt,"Based on this study , 30 m of Shuttle Radar Topography Mission ( SRTM ) data was considered in our CFD simulation using the GPGPU .",considered,) data was considered in our CFD simulation using the GPGPU.,"In terms of simulation accuracy, the shapes of the inundations and the downstream inundation area leave room for improvement. Inundation shapes depend on the resolution of the DEM. Moreover, inundation areas are affected by micro-morphologies, such as canals and roads. As shown in Figure 7, roads are present on the embankment, which stands approximately 2 m higher, and these obstruct the extension of inundations. In contrast, canals dug by farmers connect directly to tributaries, so flooding can easily occur during the high water stage. To express an inundation area with high reproducibility, DEM at high resolution should be used. However, the computational time needed for a simulation increases with increasing DEM resolution. To avoid this, we tried to employ a General Purpose Computing on Graphics Processing Unit (GPGPU), which is a parallel computing unit. The GPGPU was developed based on the graphics board found in many computers, and has already been applied in a previous study using a CFD simulation based on the 2-dimensional shallow-water equation. In the previous study, the GPGPU improved the computational time and the accuracy of the simulation for a fine-grid DEM (Zeng et al., 2013). Based on this study, 30 m of Shuttle Radar Topography Mission (SRTM) data was considered in our CFD simulation using the GPGPU. In this simulation, 170 canals, roads, and tributaries were considered in the simulation. Figure 8 shows the result of the simulation with GPGPU, which significantly improved the simulation’s accuracy when compared to the images in Figure 6.",bad example,,,,,,,
13.txt,"In this simulation , 170 canals , roads , and tributaries were considered in the simulation .",considered,and tributaries were considered in the simulation.,"In terms of simulation accuracy, the shapes of the inundations and the downstream inundation area leave room for improvement. Inundation shapes depend on the resolution of the DEM. Moreover, inundation areas are affected by micro-morphologies, such as canals and roads. As shown in Figure 7, roads are present on the embankment, which stands approximately 2 m higher, and these obstruct the extension of inundations. In contrast, canals dug by farmers connect directly to tributaries, so flooding can easily occur during the high water stage. To express an inundation area with high reproducibility, DEM at high resolution should be used. However, the computational time needed for a simulation increases with increasing DEM resolution. To avoid this, we tried to employ a General Purpose Computing on Graphics Processing Unit (GPGPU), which is a parallel computing unit. The GPGPU was developed based on the graphics board found in many computers, and has already been applied in a previous study using a CFD simulation based on the 2-dimensional shallow-water equation. In the previous study, the GPGPU improved the computational time and the accuracy of the simulation for a fine-grid DEM (Zeng et al., 2013). Based on this study, 30 m of Shuttle Radar Topography Mission (SRTM) data was considered in our CFD simulation using the GPGPU. In this simulation, 170 canals, roads, and tributaries were considered in the simulation. Figure 8 shows the result of the simulation with GPGPU, which significantly improved the simulation’s accuracy when compared to the images in Figure 6.",bad example,,,,,,,
1-s2.0-S0378429001001289-main.txt,"IR31785 , being considered for release to farmers in Senegal ( WARDA , 2000 ) , has a high yield potential but is extremely susceptible to salt .",considered,"IR31785, being considered for release to farmers in Senegal (WARDA, 2000","In the present study, salinity was applied for only 14 days at varying levels during different, potentially salt sensitive developmental stages of the crop (Fageria, 1985) in order to simulate situations likely to arise under ®eld conditions. IKP and Sahel108 are widely grown in the Senegal River Delta. IKP is known for its yield stability and relative tolerance to salinity, whereas Sahel108 is well adapted to the Sahelian climate and has a high yield potential. IR31785, being considered for release to farmers in Senegal (WARDA, 2000), has a high yield potential but is extremely susceptible to salt. These characteristics are well re¯ected in our results. The analyses of the salinity effects on yield components in relation to ®nal yield indicate an adaptation strategy to salinity in IKP and Sahel108 as HI remains unchanged up to salinity levels of 5 mS cmÿ1 (Sahel108) and beyond (IKP) in the HDS accompanied by a reduction in yield by 30±40%. This supports the results of Asch et al. (2000b) who showed that salinity affects all plant organs in a similar way if permanent salt stress is applied. Nonetheless, salinity at EC >2 mS cmÿ1 seemed to mark the critical level for all varieties tested here. In both seasons and in all treatments, yield reductions were tolerable up to that EC value, except for IR31758 in WS. In summary it can be postulated, that regardless of the phenological stage of the crop in Sahelian environments at ¯oodwater salinity levels >2 mS cmÿ1, irrigation and drainage cycles are needed to reduce the salt load and to avoid yield losses. This is particularly important during the early reproductive stages of the crop.",POSITIVE,IR31785 ,high yield potential,,,,,
Soullier%20th%C3%A8se.txt,"Second , the production contract could be considered as providing the best insurance system for producers who present a higher risk of loan default .",considered,contract could be considered as providing the best insurance system for producers who present,"In the Senegal River valley, policies need to tackle the negative impact of the exclusion from the credit at the national bank on farmer income. They have two non-exclusive options. First, an insurance system that was introduced a few years ago in Senegal could prevent producer organizations that are unable to repay loans from being excluded by the national bank and from turning to less profitable marketing options. However, the development of insurance systems for agricultural credit in Africa faces the challenges of adverse selection and moral hazards. Research is needed to understand the drivers of loan default by producers in order to design an appropriate insurance system for agricultural credit. Second, the production contract could be considered as providing the best insurance system for producers who present a higher risk of loan default. But it is not clear how the implicit interest and insurance costs are determined, or how the imbalance of power, due to the oligopsonistic market structure and lack of funding opportunities for producers, influence the selling price. The negotiation of the production contract price, with a specific breakdown of its components, should be an inherent focus of the interprofessional organization.",POSITIVE,production contract,best insurance system,,,,,
valueChain2_Gemmill-Herren.txt,"Finally , our model is implemented at the national level and does not account for diversity at the sub-national level , which should be considered for successful implementation .",considered,which should be considered for successful implementation.,"Incorporation of stakeholder perceptions, and risks of forecasting: The long-term nature of the projections that we analyse implies a series of limitations for the results that we produce. First, policy responses to the prevailing issues in rice have been articulated by diverse stakeholders, but each has contributed from their personal knowledge, not through an elaborate multistakeholder process that should precede the confirmation and adoption of policies. Second, all the simulation results should not be taken as precise forecasts, but rather as indications of trends and policy impacts obtained under a precise set of assumptions. Those projections are useful to learn about the general causal relations, the unintended and unexpected side-effects, the impeding and counteracting factors for improvement to support the development of coherent and effective strategies for development. Third, the model is formulated at a high level of aggregation and focuses on the representation of the interlinkages between the different sectors. On the one hand that means that also in the agricultural sector, we analyse policies and effects from an aggregated perspective. On the other hand, this aggregation and macro perspective allows us to assess the intersectoral effects, dependencies and impacts. In a subsequent stage of the policy process these results should inform the use of sectorial models and other more detailed planning tools. Fourth, there are factors and causalities that are not integrated in the model. Mostly, that is the results of a balancing act, in which we aim at integrating the main relevant links without including too many factors that would impede adopting a macro-perspective. In addition, some interdependencies might not have been included in the model due to lack of data or other kind of evidence concerning that specific causal relationship. Finally, our model is implemented at the national level and does not account for diversity at the sub-national level, which should be considered for successful implementation.",NEGATIVE,model,does not account for diversity,,,,,
valueChain2_Gemmill-Herren.txt,"Local demand vs. imported Current status : Locally produced , often rainfed rice tends to be considered of lower quality , with impurities mixed within and not of uniform grain size and color ( Campbell et al. 2009 ) .",considered,"tends to be considered of lower quality, with impurities mixed within and not","Increase the level of consumer awareness of their right to access agroecological rice that guarantees their health and that of biodiversity. Substantial investments, preferably those running on renewable energies, are needed to increase machining capacities with a relatively low carbon footprint, through small and large industrial units, in order to meet mass production. 4.4.2. Local demand vs. imported Current status: Locally produced, often rainfed rice tends to be considered of lower quality, with impurities mixed within and not of uniform grain size and color (Campbell et al. 2009). Consumers perceive that local rice requires time for cleaning and sorting, and requires longer cooking time due to lack of uniformity. Imported rice is widely available in cities around the year, while local rice is consumed when harvested, more in rural areas close to production areas.","NEGATIVE, NEGATIVE, NEGATIVE","Locally produced , often rainfed rice, Locally produced , often rainfed rice, Locally produced , often rainfed rice","lower quality, impurities mixed within, not of uniform grain size and color",,,,,
2012_Krupnik_RiceMgmtSRV.txt,"Though farmers ’ impressions could change with additional experience , higher fuel costs , or increased physical water scarcity , only farmers from the small-scale and privately managed Oumar Youness irrigation scheme considered AWD to be feasible .",considered,farmers from the small-scale and privately managed Oumar Youness irrigation scheme considered,"Ironically, none of the participating farmers placed great emphasis on irrigation cost as a pre-requisite for their interest in water-savings. This was because farmers felt that irrigation fees were already too high. The difficulties farmers noted in achieving water-savings on one hand, and their interest in reducing irrigation costs on the other, represents a conflict between farmers’ preferences and ability to practice water-saving irrigation. Though farmers’ impressions could change with additional experience, higher fuel costs, or increased physical water scarcity, only farmers from the small-scale and privately managed Oumar Youness irrigation scheme considered AWD to be feasible. For the time being, irrigation cost reductions may be more easily achieved by reducing conveyance losses, and by maintaining pumps for high fuel efficiency. Future efforts to realize water-savings should consider not just agronomic management at the farmers’ scale, but also improved engineering, collective action, and governance at the irrigation scheme level, as mutually reinforcing, and equally important goals (Sserunkuuma et al., 2009).",bad example,,,,,,,
riceGrowing0_2009_Linares.txt,It should be emphasized that the various factors making possible for Jola women to innovate are different in each of the communities considered here .,considered,of the communities considered here.,"It should be emphasized that the various factors making possible for Jola women to innovate are different in each of the communities considered here. Local conditions vary markedly among communities, so it is not surprising that the circumstances that allowed their efforts to take root also diverge. These conditions are important, for they highlight the unique local opportunities and constraints faced by enterprising women to charter new productive paths.",bad example,,,,,,,
Matilda_Strand-_BIDS_THESIS.txt,The wife did not have any financial or decision-making responsibilities since she was not considered knowledgeable enough and no personal income .,considered,she was not considered knowledgeable enough and no personal income.,"Looking at the premises of decision-making in the River Delta Valley, this has evolved significantly from the preceding generation. Today, both males and females make their own agricultural and financial decisions concerning their individual plots, as they are their business alone (see micro-survey results, point 3.1-3.3). While decisions on a general basis are made individually, one of the micro-survey female respondents in the Colonat village diverted from this as all decisions regarding both the household and agriculture were taken collectively between her and her co-wives. In contrast, during the preceding generation, all decisions were taken by the husband. While females’ responsibilities revolved around the housework and family plots, males’ responsibilities covered all financial costs of the household, and work and decision-making on the family plots (according to several key informant and female group interviews). The husband had the authority over all productive resources and the financial responsibility concerning all costs related to the household expenditures. The wife did not have any financial or decision-making responsibilities since she was not considered knowledgeable enough and no personal income.","NEGATIVE, NEGATIVE","wife, wife","not considered knowledgeable, no personal income",,,,,
22._Weed_Management_in_Rice-Based_Cropping_Systems_in_Africa.txt,The anticipated changes will need to be considered in the context of emerging constraints such as demographic changes and water shortages .,considered,need to be considered in the context of emerging constraints such as demographic changes,"Many studies have been carried out on the effects of CO2 enrichment on plant species (Bunce, 2005; Navas et al., 1999; Wand et al., 1999; Ziska, 2001; 2003). Fewer studies have focused on temperature rise effects on weeds (Tungate et al., 2007) or on combined effects of CO2 and temperature increases (Coleman and Bazzaz, 1992; Nonhebel, 1996; Williams et al., 2007). Fewer still peer-reviewed studies report on specific investigations of the effect of drought or water-stress on crop–weed interactions (Moffett and McCloskey, 1998). Studies have not been undertaken on the combined effects of the three main anticipated climate change causes/effects (e.g., CO2, temperature and drought) on rice-weed competition. Controlled experiments with field crops and weeds are however difficult and costly to conduct, and the absence of the resources and facilities to conduct such experiments in Africa suggests that partnerships with institutes and universities elsewhere would be advantageous. Anticipated climate changes will bring changes in species distribution and predicting these changes is an important task for weed science (Fernandez-Quintanilla et al., 2008). The anticipated changes will need to be considered in the context of emerging constraints such as demographic changes and water shortages. Integrated management options should be developed that on one hand arrest potential increased losses to weeds due to changing climatic and environmental conditions and that prevent climate change to aggravate on the other hand (Ingram et al., 2008).",bad example,,,,,,,
Soullier%20th%C3%A8se.txt,One particular limitation of that literature is that producers are considered as being included either in traditional VCs through market transactions or in modern VCs through contract farming .,considered,that producers are considered as being included either in traditional VCs through market transactions,"More research is required on the drivers of small-scale producer participation in contract farming to define appropriate policies, particularly with regard to differences in farm characteristics. One particular limitation of that literature is that producers are considered as being included either in traditional VCs through market transactions or in modern VCs through contract farming. Nevertheless, participation in contract farming may be coupled with marketing to traditional VCs because both fulfill different and complementary functions. For instance, in addition to contract farming, which provides access to improved inputs and remunerative markets, participation in traditional VCs may provide quick payment (Masuka, 2012), access to credit for unexpected expenses and outlets for products rejected by contracts (Mujawamariya et al., 2013). Such a combination of marketing modes is sometimes cited in the literature, without any in-depth analysis being conducted (Rao and Qaim, 2011; Da Silva, 2005; Gow and Swinnen, 1998, 2001).",NEGATIVE,that literature,limitation,NOTE: literature as aspect was too broad,,,,
2018_Grain and Feed Annual_Dakar_Senegal_4-19-2018.txt,The bank holds the physical commodity ( which represents the total loan value ) at a local warehouse ; the loan is considered paid after all the bank-held milled rice is sold .,considered,the loan is considered paid after all the bank-held milled rice is sold.,"Most large rice mills in the SRV provide credit to farmers unions through contracts. However, some farmers unions apply for loans directly from national or local banks. For contracts between a farmers union and rice mill, the agreement generally notes that payment will be in-kind (i.e., an agreed upon quantity of milled rice) in order to receive a loan. The bank holds the physical commodity (which represents the total loan value) at a local warehouse; the loan is considered paid after all the bank-held milled rice is sold.",bad example,,,,,,,
ARC de Mey.txt,The variables irrigation costs and weeding efforts which are expressed in value were not deflated given the quasi constant prices of these inputs during the considered period .,considered,inputs during the considered period.,"One output and seven inputs were distinguished. The output consists of paddy rice production expressed in tons. The inputs were classified as productive inputs and damage abating inputs. The former include land, seed, labor, fertilizer and irrigation costs; the latter include weeding efforts and bird control. Land represents the amount of land a farmer used during the production season and is measured in hectare. Seed is the total amount of seed used and is expressed in kilogram. Labor includes both family and externally hired labor, which were assumed to be equally productive, and is expressed in man×days. The labor spent on manual weeding and bird scaring is not included in this variable. Fertilizer is the total amount of fertilizer used and is measured in kilogram. Irrigation costs represent the size related fixed fee farmers have to pay to the irrigation scheme union and are expressed in FCFA. The variable weeding efforts aggregates herbicide expenditures and manual labor costs spent on weeding and is expressed in FCFA.2 Bird control is total bird scaring efforts in man×days. For the variables weeding efforts and bird control, zero values were replaced by unity, as is commonly done in the DA literature, to circumvent errors when taking the natural logarithm of these variables in the models, i.e. it assumes that ln 0 ln 1 0 for the critical observations. The variables irrigation costs and weeding efforts which are expressed in value were not deflated given the quasi constant prices of these inputs during the considered period.",bad example,,,,,,,
Soullier%20th%C3%A8se.txt,"Otherwise , the opportunity cost was equal to its sales price during the period considered ( Boussard , 1987 ) .",considered,"during the period considered (Boussard, 1987).","Outcome variables (Yi) are income, production costs, yield and food security. Income indicators are profit per kilogram and price per kilogram. Profit is the difference between the income from the sale and the share of total costs proportionate to the quantities sold. Prices of collective sales were crosschecked with the representatives of the producer organizations and technical advisors. Input costs includ labor, capital depreciation and interest paid to the bank, in addition to more typical inputs (seed, fertilizers, etc.). The opportunity cost of self-produced or purchased inputs with in-kind payments was worked out based on demand. If there was no demand, the opportunity cost was the production cost. Otherwise, the opportunity cost was equal to its sales price during the period considered (Boussard, 1987). Rice yields are in kilogram per hectare.",bad example,,,,,,,
riceGrowing0_2009_Linares.txt,"The only fertilizer used is the dung from cattle , sheep , and goats ; chemical fertilizer is considered toxic and hence avoided .",considered,chemical fertilizer is considered toxic and hence avoided.,"Outside of the drip-irrigated area of the garden, women cultivate separately. They buy the vegetable seeds in stores in Bignona and Ziguinchor, the regional Casamance capital. They prepare beds (planches), which they plant with one kind of vegetable each, such as tomatoes, cabbage, peppers, radishes, okra, or carrots. Some women prepare two planches; others prepare as many as 10. The only fertilizer used is the dung from cattle, sheep, and goats; chemical fertilizer is considered toxic and hence avoided. Women water their vegetables once a day, in the morning. When the time comes, they sell their crop in the Bignona market or wait for buyers to come to the village and buy their vegetables to then be sold to hotels in the resort area of Cap Skirring located past Oussouye or transported for sale in the Senegalese capital, Dakar.","NEGATIVE, NEGATIVE","chemical fertilizer, chemical fertilizer","toxic, avoided",,,,,
12151874.txt,Replacement of pumps must be considered .,considered,pumps must be considered.,"PAPRIZ excluded the replacement of existing irrigation pumps from this program. However, it was recognized that farmers face frequent stops of irrigation water supply due to mechanical troubles of pumps since most of pumps are old and deteriorated. Replacement of pumps must be considered. Without guarantee for irrigation pumps, farmers will not be motivated in participatory approach for repair of irrigation facilities.",bad example,,,,,,,
